name,slug,country,university,provider,level,coverage_description,max_amount_usd,is_fully_funded,min_cgpa,fields_of_study,deadline,application_url,is_featured,description
Fulbright Foreign Student Program,fulbright-foreign-student,USA,,U.S. Department of State,Masters/PhD,Full tuition + living stipend + health insurance + travel,40000,true,7.5,All fields,2025-10-13,https://foreign.fulbrightonline.org,true,The flagship U.S. government scholarship for international graduate students.
Rhodes Scholarship,rhodes-scholarship,UK,University of Oxford,Rhodes Trust,Masters/DPhil,Full tuition + living stipend + travel,75000,true,8.0,All fields,2025-09-30,https://rhodeshouse.ox.ac.uk,true,The world's oldest and most prestigious international scholarship at Oxford.
Chevening Scholarship,chevening,UK,,UK Government,Masters,Full tuition + living stipend + travel allowance,30000,true,7.0,All fields,2025-11-05,https://chevening.org,true,The UK government's global scholarship programme for future leaders.
DAAD Scholarship Germany,daad-scholarship,Germany,,DAAD,Masters/PhD,Tuition waiver + monthly stipend of EUR 934,15000,true,7.0,All fields,2025-11-30,https://daad.de,true,Germany's premier scholarship for international students from developing countries.
Commonwealth Scholarship,commonwealth-scholarship,UK,,Commonwealth Scholarship Commission,Masters/PhD,Full tuition + stipend + airfare,35000,true,7.0,All fields,2025-12-10,https://cscuk.fcdo.gov.uk,true,Scholarships for students from Commonwealth countries to study in the UK.
Australia Awards Scholarship,australia-awards,Australia,,Australian Government,Masters/PhD,Full tuition + living allowance + airfare,45000,true,6.5,All fields,2025-04-30,https://australiaawards.gov.au,true,Australian Government's flagship international development scholarship program.
University of Toronto Excellence Award,toronto-excellence,Canada,University of Toronto,University of Toronto,Masters,Partial tuition + living support,20000,false,8.0,All fields,,https://utoronto.ca/scholarships,false,Merit-based award for exceptional international graduate students.
Melbourne International Undergraduate Scholarship,melbourne-international,Australia,University of Melbourne,University of Melbourne,Bachelors,25% tuition reduction,10000,false,8.0,All fields,,https://unimelb.edu.au/scholarships,false,Merit-based fee reduction for high-achieving international undergraduates.
Gates Cambridge Scholarship,gates-cambridge,UK,University of Cambridge,Bill & Melinda Gates Foundation,Masters/PhD,Full tuition + maintenance + travel + extras,50000,true,8.5,All fields,2025-10-15,https://gatescambridge.org,true,One of the world's most prestigious international scholarships for postgraduate study.
Knight-Hennessy Scholars,knight-hennessy,USA,Stanford University,Knight-Hennessy Foundation,Masters/PhD,Full tuition + stipend + enrichment fund,90000,true,8.0,All fields,2025-10-08,https://knight-hennessy.stanford.edu,true,Stanford's flagship multidisciplinary scholarship for global leaders.
Vanier Canada Graduate Scholarship,vanier-canada,Canada,,Government of Canada,PhD,CAD 50000/year for 3 years,38000,true,8.0,All fields,2025-11-01,https://vanier.gc.ca,true,Canada's premier doctoral scholarship for world-class researchers.
Ireland Fellows Programme,ireland-fellows,Ireland,,Irish Aid,Masters,Full tuition + stipend + travel,25000,true,6.5,All fields,2025-11-29,https://hea.ie/ireland-fellows,true,Funded by Irish Aid for students from developing countries to study in Ireland.
TU Munich Deutschland Stipendium,tum-deutschland,Germany,TU Munich,TUM Foundation,Bachelors/Masters,EUR 300/month for 12 months,4000,false,7.0,Engineering Science Technology,2025-05-31,https://tum.de/stipendien,false,Merit-based monthly support for TUM students with social and academic criteria.
GREAT Scholarship,great-scholarship,UK,,British Council,Masters,Minimum GBP 10000 tuition contribution,13000,false,7.0,All fields,2025-04-30,https://study-uk.britishcouncil.org/scholarships,false,Joint initiative by the UK government and universities for international postgraduates.
ETH Excellence Scholarship,eth-excellence,Germany,ETH Zurich,ETH Foundation,Masters,Full tuition waiver + CHF 12000 semester grant,20000,true,8.0,STEM,2025-12-15,https://ethz.ch/scholarships,false,Highly competitive merit scholarship for outstanding ETH master's students.
Monash International Merit Scholarship,monash-merit,Australia,Monash University,Monash University,Bachelors/Masters,25% to 50% tuition reduction,19000,false,7.5,All fields,,https://monash.edu/scholarships,false,Automatic merit scholarship for high-achieving international students at Monash.
