name,slug,lender_type,interest_rate_min,interest_rate_max,max_loan_amount_usd,min_loan_amount_usd,processing_fee_pct,moratorium_months,repayment_tenure_months,approval_days,requires_collateral,requires_co_applicant,min_family_income_usd,eligible_countries,is_featured,website_url,description,cta_url
HDFC Credila,hdfc-credila,nbfc,9.5,12.5,100000,5000,1.0,18,120,14,false,true,12000,"USA,UK,Canada,Australia,Germany,Ireland,France,New Zealand",true,https://hdfccredila.com,India's first and leading education loan specialist with no margin money requirement.,https://hdfccredila.com/apply
Avanse Financial Services,avanse,nbfc,10.5,14.0,80000,3000,1.0,12,120,10,false,false,10000,"USA,UK,Canada,Australia,Germany,Ireland,France,New Zealand",true,https://avanse.com,Fast-track education loans with minimal documentation and collateral-free options.,https://avanse.com/apply
IDFC First Bank,idfc-first,bank,9.0,14.5,75000,5000,0.5,12,120,21,false,true,15000,"USA,UK,Canada,Australia,Germany,France,New Zealand",true,https://idfcfirstbank.com,Competitive interest rates with flexible repayment for top universities globally.,https://idfcfirstbank.com/education-loan
State Bank of India,sbi,psu-bank,8.65,11.15,75000,2000,0.0,12,180,30,true,true,10000,"USA,UK,Canada,Australia,Germany,Ireland,France,New Zealand",true,https://sbi.co.in,SBI Student Loan scheme with government-backed interest subsidy for merit students.,https://sbi.co.in/education-loan
Prodigy Finance,prodigy-finance,international,7.5,18.0,100000,15000,5.0,6,120,7,false,false,0,"USA,UK,Canada,Australia,Germany,France,New Zealand",true,https://prodigyfinance.com,Global education loan platform for postgraduate students at top-ranked universities.,https://prodigyfinance.com/apply
Auxilo Education Finance,auxilo,nbfc,11.0,15.0,60000,3000,1.5,12,120,10,false,false,8000,"USA,UK,Canada,Australia",false,https://auxilo.com,Digital-first education lender with fast approval and flexible collateral norms.,https://auxilo.com/apply
InCred Finance,incred,nbfc,11.5,14.5,50000,3000,1.0,12,84,7,false,false,8000,"USA,UK,Canada,Australia,Germany,France,New Zealand",false,https://incred.com,Tech-driven education loan with instant eligibility check and quick disbursal.,https://incred.com/education-loan
Bank of Baroda,bank-of-baroda,psu-bank,9.7,10.85,80000,3000,0.0,12,180,25,true,true,12000,"USA,UK,Canada,Australia,Germany,Ireland,France,New Zealand",false,https://bankofbaroda.in,Vidya Lakshmi portal participant with comprehensive coverage for study abroad.,https://bankofbaroda.in/education-loan
MPOWER Financing,mpower-financing,international,12.99,15.99,100000,2001,5.0,6,120,5,false,false,0,"USA,Canada",false,https://mpowerfinancing.com,US and Canada focused lender for international students with no co-signer required.,https://mpowerfinancing.com/apply
Credila by HDFC Bank,credila-hdfc,bank,9.25,12.0,75000,5000,1.0,18,120,14,false,true,12000,"USA,UK,Canada,Australia,Germany,France,New Zealand",false,https://hdfcbank.com/education-loans,HDFC Bank's dedicated education loan product with preferential rates.,https://hdfcbank.com/education-loan/apply
